Species,Species3,Tree.name
Black-throated Prinia,Prinia atrogularis,Prinia_atrogularis
Common Kingfisher,Alcedo atthis,Alcedo_atthis
Daurian Redstart,Phoenicurus auroreus,Phoenicurus_auroreus
Eurasian Tree Sparrow,Passer montanus,Passer_montanus
Large-billed Crow,Corvus macrorhynchos,Corvus_macrorhynchos
Long-tailed Minivet,Pericrocotus ethologus,Pericrocotus_ethologus
Plumbeous Redstart,Rhyacornis fuliginosa,Rhyacornis_fuliginosa
Wallcreeper,Tichodroma muraria,Tichodroma_muraria
White-capped Redstart,Chaimarrornis leucocephalus,Chaimarrornis_leucocephalus
Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopus_maculipennis
Bhutan Laughingthrush,Garrulax imbricatus,Garrulax_imbricatus
Buff-barred Warbler,Phylloscopus pulcher,Phylloscopus_pulcher
Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeum_ignipectus
Green-backed Tit,Parus monticolus,Parus_monticolus
Indian White-eye,Zosterops palpebrosus,Zosterops_palpebrosus
Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopus_chloronotus
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxantha,Chelidorhynx_hypoxantha
Chestnut-tailed Minla,Minla strigula,Minla_strigula
Golden Babbler,Stachyris chrysaea,Stachyris_chrysaea
Gray-sided Laughingthrush,Garrulax caerulatus,Garrulax_caerulatus
Green Shrike-Babbler,Pteruthius xanthochlorus,Pteruthius_xanthochlorus
Green-tailed Sunbird,Aethopyga nipalensis,Aethopyga_nipalensis
Mountain Hawk-Eagle,Nisaetus nipalensis,Nisaetus_nipalensis
Rufous-capped Babbler,Stachyris ruficeps,Stachyris_ruficeps
Rufous-vented Yuhina,Yuhina occipitalis,Yuhina_occipitalis
Striated Bulbul,Pycnonotus striatus,Pycnonotus_striatus
Yellow-cheeked Tit,Parus spilonotus,Parus_spilonotus
Ashy Bulbul,Hemixos flavala,Hemixos_flavala
Asian Fairy-bluebird,Irena puella,Irena_puella
Blue-throated Barbet,Megalaima asiatica,Megalaima_asiatica
Bronzed Drongo,Dicrurus aeneus,Dicrurus_aeneus
Chestnut-bellied Nuthatch,Sitta castanea,Sitta_castanea
Common Hill Myna,Gracula religiosa,Gracula_religiosa
Eyebrowed Wren-Babbler,Napothera epilepidota,Napothera_epilepidota
Golden-crested Myna,Ampeliceps coronatus,Ampeliceps_coronatus
Golden-fronted Leafbird,Chloropsis aurifrons,Chloropsis_aurifrons
Gray-bellied Tesia,Tesia cyaniventer,Tesia_cyaniventer
Lesser Racket-tailed Drongo,Dicrurus remifer,Dicrurus_remifer
Long-tailed Sibia,Heterophasia picaoides,Heterophasia_picaoides
Maroon Oriole,Oriolus traillii,Oriolus_traillii
Pin-tailed Green-Pigeon,Treron apicauda,Treron_apicauda
Pygmy Cupwing,Pnoepyga pusilla,Pnoepyga_pusilla
Red-headed Trogon,Harpactes erythrocephalus,Harpactes_erythrocephalus
Rufous Woodpecker,Celeus brachyurus,Celeus_brachyurus
Rufous-necked Hornbill,Aceros nipalensis,Aceros_nipalensis
Rusty-fronted Barwing,Actinodura egertoni,Actinodura_egertoni
Streaked Spiderhunter,Arachnothera magna,Arachnothera_magna
Sultan Tit,Melanochlora sultanea,Melanochlora_sultanea
White-throated Bulbul,Alophoixus flaveolus,Alophoixus_flaveolus
Wreathed Hornbill,Aceros undulatus,Aceros_undulatus
Spotted Elachura,Spelaeornis formosus,Spelaeornis_formosus
Blue Whistling-Thrush,Myophonus caeruleus,Myophonus_caeruleus
Common Sandpiper,Actitis hypoleucos,Actitis_hypoleucos
Crested Kingfisher,Megaceryle lugubris,Megaceryle_lugubris
Little Forktail,Enicurus scouleri,Enicurus_scouleri
Slaty-backed Forktail,Enicurus schistaceus,Enicurus_schistaceus
White Wagtail,Motacilla alba,Motacilla_alba
White-throated Kingfisher,Halcyon smyrnensis,Halcyon_smyrnensis
Brown Dipper,Cinclus pallasii,Cinclus_pallasii
Common Merganser,Mergus merganser,Mergus_merganser
Osprey,Pandion haliaetus,Pandion_haliaetus
River Lapwing,Vanellus duvaucelii,Vanellus_duvaucelii
Siberian Stonechat,Saxicola torquatus,Saxicola_torquatus
Striated Heron,Butorides striata,Butorides_striata
Great Barbet,Megalaima virens,Megalaima_virens
Great Hornbill,Buceros bicornis,Buceros_bicornis
Lesser Necklaced Laughingthrush,Garrulax monileger,Garrulax_monileger
Orange-bellied Leafbird,Chloropsis hardwickii,Chloropsis_hardwickii
Red-tailed Minla,Minla ignotincta,Minla_ignotincta
White-crested Laughingthrush,Garrulax leucolophus,Garrulax_leucolophus
White-crowned Forktail,Enicurus leschenaulti,Enicurus_leschenaulti
Black Stork,Ciconia nigra,Ciconia_nigra
Little Cormorant,Phalacrocorax niger,Phalacrocorax_niger
Black Bulbul,Hypsipetes leucocephalus,Hypsipetes_leucocephalus
Black-hooded Oriole,Oriolus xanthornus,Oriolus_xanthornus
Black-throated Tit,Aegithalos concinnus,Aegithalos_concinnus
Common Iora,Aegithina tiphia,Aegithina_tiphia
Golden-throated Barbet,Megalaima franklinii,Megalaima_franklinii
Gray-capped Pygmy Woodpecker,Dendrocopos canicapillus,Dendrocopos_canicapillus
Gray-hooded Warbler,Phylloscopus xanthoschistos,Phylloscopus_xanthoschistos
Hill Partridge,Arborophila torqueola,Arborophila_torqueola
Little Pied Flycatcher,Ficedula westermanni,Ficedula_westermanni
Mountain Bulbul,Hypsipetes mcclellandii,Hypsipetes_mcclellandii
Pale-headed Woodpecker,Gecinulus grantia,Gecinulus_grantia
Spotted Dove,Stigmatopelia chinensis,Stigmatopelia_chinensis
Verditer Flycatcher,Eumyias thalassinus,Eumyias_thalassinus
White-naped Yuhina,Yuhina bakeri,Yuhina_bakeri
White-tailed Robin,Cinclidium leucurum,Cinclidium_leucurum
White-throated Fantail,Rhipidura albicollis,Rhipidura_albicollis
Ashy Woodswallow,Artamus fuscus,Artamus_fuscus
Asian Palm-Swift,Cypsiurus balasiensis,Cypsiurus_balasiensis
Asian Pied Starling,Sturnus contra,Sturnus_contra
Eurasian Sparrowhawk,Accipiter nisus,Accipiter_nisus
Gray-breasted Prinia,Prinia hodgsonii,Prinia_hodgsonii
Himalayan Swiftlet,Collocalia brevirostris,Collocalia_brevirostris
Himalayan Swiftlet,Collocalia rogersi,Collocalia_rogersi
Beautiful Sibia,Heterophasia pulchella,Heterophasia_pulchella
Black-throated Sunbird,Aethopyga saturata,Aethopyga_saturata
Brownish-flanked Bush Warbler,Cettia fortipes,Cettia_fortipes
Bay Woodpecker,Blythipicus pyrrhotis,Blythipicus_pyrrhotis
Cachar Wedge-billed Babbler,Sphenocichla roberti,Sphenocichla_roberti
Common Cuckoo,Cuculus canorus,Cuculus_canorus
