LOCALITY.ID,LATITUDE,LONGITUDE
L4242423,33.3334816,75.7552383
L4304130,32.9382113,75.7432387
L2987261,33.3660905,74.3156433
L2987261,33.3660905,74.3156433
L2987261,33.3660905,74.3156433
L2987261,33.3660905,74.3156433
L1108461,34.1200937,74.8618591
L4560640,34.0825658,74.8600976
L4555800,34.0627242,74.8459196
L4560760,34.0783309,74.8719883
L4743212,34.1707552,74.9054217
L4743658,34.1759,74.93648
L5792420,32.6776612,75.8177204
L5791647,32.6421787,75.9039809
L5783721,32.5607401,75.5912621
L5783196,32.4701713,75.3167718
L5791647,32.6421787,75.9039809
L5783721,32.5607401,75.5912621
L5388690,32.7300178,74.888252
L6112139,32.6643317,74.8168133
L6187076,32.9279198,75.7383945
L6187567,32.9540834,75.7255973
L6187582,32.8721727,75.7296592
L6187582,32.8721727,75.7296592
L6187603,32.9494963,75.7138191
L6193526,32.8785847,75.6891416
L6193528,32.8844467,75.6981265
L6193521,32.8761389,75.7277741
L5388690,32.7300178,74.888252
L6082770,32.7290611,74.9100637
L6818857,32.4671143,75.4081161
L6818916,32.4745705,75.4082568
L5448530,34.1416014,74.6477249
L5448530,34.1416014,74.6477249
L3357160,34.157175,74.8312658
L3353046,32.7191469,74.869101
L3353046,32.7191469,74.869101
L3353046,32.7191469,74.869101
L4012182,32.5411713,74.6910372
L3353046,32.7191469,74.869101
L6941973,32.572875,74.7081754
L4012182,32.5411713,74.6910372
L6942050,32.5425993,74.6933214
L4012182,32.5411713,74.6910372
L6942050,32.5425993,74.6933214
L4012182,32.5411713,74.6910372
L3353046,32.7191469,74.869101
L3353046,32.7191469,74.869101
L3353046,32.7191469,74.869101
L3357160,34.157175,74.8312658
L5468783,34.0963114,74.8811603
L5468756,34.0941213,74.8731807
L5456323,34.0124579,74.7675446
L5783196,32.4701713,75.3167718
L5397302,32.7184826,74.8685002
L5388690,32.7300178,74.888252
L6082770,32.7290611,74.9100637
L7775195,32.8104127,74.8973082
L6157505,32.7298914,74.8920822
L6268038,32.697375,74.929895
L7813233,32.6210548,75.6025604
L7814155,32.5674114,75.3554211
L7824835,32.7133291,74.7494728
L6157505,32.7298914,74.8920822
L1108461,34.1200937,74.8618591
L3752916,34.3014363,75.2948427
L8386638,32.7820235,74.5344509
L7824835,32.7133291,74.7494728
L8503589,32.6560984,75.5936362
L8586524,32.8725708,74.5420694
L8386638,32.7820235,74.5344509
L8592242,32.8061745,74.5638936
L8592242,32.8061745,74.5638936
L8593950,32.8792106,74.5435155
L5456323,34.0124579,74.7675446
L8684038,32.6237233,75.641445
L8503589,32.6560984,75.5936362
L9271635,34.1199342,74.8806389
L9271549,34.2647921,75.4264825
