Order,ALTALTSPECIES,IUCN name,Tree name,HWI,Sample size,Body mass (log),Range Size,Island,Migration-1,Migration-2,Migration-3,Territoriality,Diet,Habitat,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange,ALTSPECIES
Tinamiformes,Tinamus_tao,Tinamus tao,Tinamus_tao,14.19806859,4,3.204147125,376,0,Not a Migrant,1,resident,strong,fruit,1,-7.73,24.81559201,15.16126166,1971.720512,273.5485051,Tinamus_tao
Tinamiformes,Tinamus_solitarius,Tinamus solitarius,Tinamus_solitarius,13.63738999,4,3.141891682,112,0,Not a Migrant,1,resident,strong,seeds,1,-22.26,20.87319346,17.84779542,1446.038739,147.230815,Tinamus_solitarius
Tinamiformes,Tinamus_osgoodi,Tinamus osgoodi,Tinamus_osgoodi,13.81304348,1,3.108903128,5,0,Not a Migrant,1,resident,weak,fruit,1,-10.23,18.20033,16.01116,2336.4107,253.96059,Tinamus_osgoodi
Tinamiformes,Tinamus_major,Tinamus major,Tinamus_major,20.49552617,4,3.011236242,646,0.003095975,Not a Migrant,1,resident,weak,omnivore,1,-1.19,25.26657805,13.13038749,2315.729313,269.3649555,Tinamus_major
Tinamiformes,Tinamus_guttatus,Tinamus guttatus,Tinamus_guttatus,26.40499811,4,2.836438056,381,0,Not a Migrant,1,resident,weak,fruit,1,-5.54,25.53861053,13.4907001,2339.027287,254.2953604,Tinamus_guttatus
Tinamiformes,Nothocercus_bonapartei,Nothocercus bonapartei,Nothocercus_bonapartei,14.16336376,4,2.882524538,56,0,Not a Migrant,1,resident,weak,fruit,1,4.97,21.65415211,12.10754014,2345.841789,229.3454792,Nothocercus_bonapartei
Tinamiformes,Nothocercus_julius,Nothocercus julius,Nothocercus_julius,16.7234717,4,2.828981954,40,0,Not a Migrant,1,resident,weak,omnivore,1,1.42,19.42248958,12.01736,2122.555563,205.7604485,Nothocercus_julius
Tinamiformes,Nothocercus_nigrocapillus,Nothocercus nigrocapillus,Nothocercus_nigrocapillus,15.66157753,5,2.767897616,48,0,Not a Migrant,1,resident,strong,seeds,1,-14.68,17.66411947,17.85070526,1665.136474,221.5104805,Nothocercus_nigrocapillus
Tinamiformes,Crypturellus_berlepschi,Crypturellus berlepschi,Crypturellus_berlepschi,23.31738138,5,2.713347715,15,0,Not a Migrant,1,resident,strong,omnivore,1,3.34,24.00719048,9.780772857,4070.803333,304.3976714,Crypturellus_berlepschi
Tinamiformes,Crypturellus_cinereus,Crypturellus cinereus,Crypturellus_cinereus,15.68447261,4,2.704690903,536,0,Not a Migrant,1,resident,strong,fruit,1,-3.68,25.58527507,13.06086857,2317.318746,265.3858086,Crypturellus_cinereus
Tinamiformes,Crypturellus_soui,Crypturellus soui,Crypturellus_soui,26.7569554,5,2.334775332,895,0.003351955,Not a Migrant,1,resident,strong,omnivore,1,-2.51,25.15291817,13.65984625,2094.610612,262.2325648,Crypturellus_soui
