Tree.name,GENUS,SPECIFIC,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Median_S_lower,Median_W_lower,Median_diff_lower,Median_S_median,Median_W_median,Median_diff_median,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Aceros_undulatus,Aceros,undulatus,Wreathed Hornbill,754.75,1569.7,-844,132.8,113,18,175,219,-54.5,621.95,-1.118251077,-0.311428571,0.135542169
Abroscopus_superciliaris,Abroscopus,superciliaris,Yellow-bellied Warbler,1492.5,2986.6,-1479.9,207.4,154.5,44,618,620,-13,1285.1,-0.991557789,-0.021035599,0.212150434
Treron_phoenicopterus,Treron,phoenicopterus,Yellow-footed Green-Pigeon,665.15,1338,-434.15,82.5,76,7.1,185,155,26.5,582.65,-0.652709915,0.143243243,0.086060606
Chloropsis_aurifrons,Chloropsis,aurifrons,Golden-fronted Leafbird,1073.3,1774.25,-656.875,90,79.4,10.5,271,184,78,983.3,-0.612014348,0.287822878,0.116666667
Alophoixus_flaveolus,Alophoixus,flaveolus,White-throated Bulbul,1075.5,1739,-649.8,142,142,0,574,518.25,43,933.5,-0.6041841,0.074912892,0
Picumnus_innominatus,Picumnus,innominatus,Speckled Piculet,1828.95,2749.6,-904.475,171.05,223.6,-34.95,1290,1344,-74.5,1657.9,-0.494532382,-0.057751938,-0.20432622
Pavo_cristatus,Pavo,cristatus,Indian Peafowl,599.75,843.9,-241.275,90,94.5,-1.525,186.5,194.5,-6.5,509.75,-0.402292622,-0.034852547,-0.016944444
Gallus_gallus,Gallus,gallus,Red Junglefowl,1167,1658.1,-451.75,113,111.65,1.45,201.5,191,9.5,1054,-0.387103685,0.047146402,0.012831858
Gracula_religiosa,Gracula,religiosa,Common Hill Myna,1187.825,1630,-413.2,83.75,92.15,-7.625,232,183.5,45,1104.075,-0.34786269,0.193965517,-0.091044776
Abroscopus_schisticeps,Abroscopus,schisticeps,Black-faced Warbler,2722,3620.35,-889.25,1640.325,822.05,828.025,2118,1982,115,1081.675,-0.326689934,0.054296506,0.504793257
Prinia_crinigera,Prinia,crinigera,Striated Prinia,1914,2444.65,-565.8,625.7,562,67.8,1198.5,1398,-214.5,1288.3,-0.295611285,-0.178973717,0.108358638
Dicrurus_paradiseus,Dicrurus,paradiseus,Greater Racket-tailed Drongo,1162.95,1516.25,-336.65,123.55,142,-16,295,323,-29,1039.4,-0.289479341,-0.098305085,-0.129502226
Nectarinia_asiatica,Nectarinia,asiatica,Purple Sunbird,1336.5,1665,-330.9,82.95,75.975,5.35,981,250,731,1253.55,-0.247586981,0.745158002,0.064496685
Enicurus_scouleri,Enicurus,scouleri,Little Forktail,2805,3317.3,-542.2,518.5,334,177.05,1925.5,1598,288,2286.5,-0.193297683,0.14957154,0.341465767
Ninox_scutulata,Ninox,scutulata,Brown Boobook,1166.8,1388.65,-200,44,83,-39,154,238.5,-90,1122.8,-0.171408982,-0.584415584,-0.886363636
Pycnonotus_melanicterus,Pycnonotus,melanicterus,Black-crested Bulbul,987.8,1127,-151.15,125,112.1,14.95,347,286,65.25,862.8,-0.153016805,0.188040346,0.1196
Stachyris_nigriceps,Stachyris,nigriceps,Gray-throated Babbler,2031.15,2325,-276.5,220.75,254.8,-47.7,948,934,46,1810.4,-0.136129779,0.048523207,-0.21608154
Sturnus_contra,Sturnus,contra,Asian Pied Starling,338.5,379.2,-45.2,66.3,76,-9,151.75,142,10,272.2,-0.133530281,0.065897858,-0.135746606
Picus_canus,Picus,canus,Gray-headed Woodpecker,1879.4,2146.35,-249.25,199.9,200.6,1.625,1349,833,481,1679.5,-0.132622113,0.356560415,0.008129065
Chloropsis_hardwickii,Chloropsis,hardwickii,Orange-bellied Leafbird,1914.3,2156,-243.725,229.25,168,58.9,950,1045,-76.75,1685.05,-0.12731808,-0.080789474,0.256924755
Garrulax_squamatus,Garrulax,squamatus,Blue-winged Laughingthrush,2532.15,2855.35,-321.4,1304.6,627.45,701.45,1970,1665,309,1227.55,-0.12692771,0.156852792,0.537674383
Enicurus_schistaceus,Enicurus,schistaceus,Slaty-backed Forktail,2209.6,2486,-266.5,283.45,250,45.95,883,898,-23.5,1926.15,-0.120610065,-0.026613817,0.16210972
Certhia_discolor,Certhia,discolor,Sikkim Treecreeper,2498.15,2808,-298.85,1665,836.5,822.35,1974,1739,233,833.15,-0.119628525,0.118034448,0.493903904
Lonchura_striata,Lonchura,striata,White-rumped Munia,1620.2,1819.5,-178.825,154,176.1,-14.4,798,981,-174,1466.2,-0.110372176,-0.218045113,-0.093506494
Erpornis_zantholeuca,Erpornis,zantholeuca,White-bellied Erpornis,1948.95,2163.4,-189.25,162.1,568,-386.55,1053.5,674,352,1786.85,-0.097103569,0.334124347,-2.384639112
Acridotheres_grandis,Acridotheres,grandis,Great Myna,1463,1562,-140.2,128.3,83,43.5,261,254,10,1334.7,-0.095830485,0.038314176,0.339049104
Yuhina_nigrimenta,Yuhina,nigrimenta,Black-chinned Yuhina,2360.825,2580.7,-222.45,492.6,618.8,-122,1067,1230,-124,1868.225,-0.094225536,-0.116213683,-0.247665449
Garrulax_leucolophus,Garrulax,leucolophus,White-crested Laughingthrush,1807.9,1979.275,-168,421.65,436.875,-10.5,999,1074,-80,1386.25,-0.092925494,-0.08008008,-0.02490217
Dendrocitta_formosae,Dendrocitta,formosae,Gray Treepie,2118.8,2302.4,-180,413.6,502.1,-86.25,1205,1425,-220,1705.2,-0.084953747,-0.182572614,-0.208534816
Yuhina_castaniceps,Yuhina,castaniceps,Striated Yuhina,2109.15,2290.9,-173.35,374.8,286.2,88.6,762,609,160,1734.35,-0.082189508,0.209973753,0.236392743
Irena_puella,Irena,puella,Asian Fairy-bluebird,772.425,833,-60.575,105.4,109.45,-5.55,185.5,182,0,667.025,-0.078421853,0,-0.052656546
Columba_livia,Columba,livia,Rock Pigeon,3373.85,3589.8,-227.9,760.6,186.6,567.3,1425,1425,0,2613.25,-0.067548943,0,0.745858533
Pycnonotus_leucogenys,Pycnonotus,leucogenys,Himalayan Bulbul,1979,2110.25,-131.4,439,390.35,44.5,981,1023.5,-42.5,1540,-0.06639717,-0.04332314,0.101366743
Hypsipetes_mcclellandii,Hypsipetes,mcclellandii,Mountain Bulbul,2293.25,2446,-152.225,439.2,862.6,-402.825,1594,1739,-145,1854.05,-0.066379592,-0.090966123,-0.917178962
Certhia_nipalensis,Certhia,nipalensis,Rusty-flanked Treecreeper,3486.05,3710,-223.95,1556.75,1365.65,175.075,2805,2525.5,265,1929.3,-0.064241764,0.094474153,0.11246186
