Tree.name,Species,Median_S_upper,Median_diff_upper,Species,Median_S_median,Median_diff_median,Species,Median_S_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Abroscopus_albogularis,Rufous-faced Warbler,1030.5,-13.7,Rufous-faced Warbler,630,10,Rufous-faced Warbler,404.45,-209.95,626.05,-0.013294517,0.015873016,-0.519100012
Abroscopus_schisticeps,Black-faced Warbler,2722,-1936.6,Black-faced Warbler,2140,87,Black-faced Warbler,1654.8,779.975,1067.2,-0.71146216,0.040654206,0.471340948
Abroscopus_superciliaris,Yellow-bellied Warbler,1478.5,-1657.5,Yellow-bellied Warbler,618,-19.75,Yellow-bellied Warbler,293.55,118.675,1184.95,-1.121068651,-0.031957929,0.404275251
Aceros_nipalensis,Rufous-necked Hornbill,1993.4,36.175,Rufous-necked Hornbill,1335,253.5,Rufous-necked Hornbill,266.5,-171.475,1726.9,0.018147386,0.18988764,-0.643433396
Aceros_undulatus,Wreathed Hornbill,730.05,-436,Wreathed Hornbill,163.75,-64.25,Wreathed Hornbill,137.05,22.6,593,-0.597219369,-0.392366412,0.16490332
Acridotheres_fuscus,Jungle Myna,1425,0,Jungle Myna,981,-363,Jungle Myna,45.4,-55.5,1379.6,0,-0.370030581,-1.22246696
Acridotheres_grandis,Great Myna,947.85,-832.65,Great Myna,257,-2,Great Myna,128.3,42.8,819.55,-0.878461782,-0.007782101,0.333593141
Acridotheres_tristis,Common Myna,1734.625,-81.5,Common Myna,981,-86,Common Myna,96.325,-7.375,1638.3,-0.046984218,-0.087665647,-0.076563717
Actinodura_egertoni,Rusty-fronted Barwing,2483.8,20.45,Rusty-fronted Barwing,1823,29,Rusty-fronted Barwing,1106.3,443.45,1377.5,0.008233352,0.015907844,0.40084064
Actinodura_nipalensis,Hoary-throated Barwing,3140,197.4,Hoary-throated Barwing,2612.5,144.25,Hoary-throated Barwing,1731.8,17.4,1408.2,0.062866242,0.055215311,0.01004735
Aegithalos_concinnus,Black-throated Tit,2999.7,0,Black-throated Tit,1964.75,-40,Black-throated Tit,1372,275.95,1627.7,0,-0.020358824,0.201129738
Aegithalos_iouschistos,Black-browed Tit,3720.7,347.75,Black-browed Tit,2809,162,Black-browed Tit,2287.3,-80.075,1433.4,0.093463596,0.057671769,-0.035008525
Aegithina_tiphia,Common Iora,1529.2,137.675,Common Iora,210,-65,Common Iora,75.3,-25.9,1453.9,0.090030735,-0.30952381,-0.343957503
Aethopyga_ignicauda,Fire-tailed Sunbird,4129.65,561.8,Fire-tailed Sunbird,3143,1186,Fire-tailed Sunbird,1496.6,161.8,2633.05,0.136040585,0.377346484,0.10811172
Aethopyga_nipalensis,Green-tailed Sunbird,3310,633,Green-tailed Sunbird,2474,721.5,Green-tailed Sunbird,1739,784.1,1571,0.191238671,0.291632983,0.450891317
Aethopyga_saturata,Black-throated Sunbird,2405.575,387.9,Black-throated Sunbird,1556,879.5,Black-throated Sunbird,384.5,49.625,2021.075,0.161250429,0.565231362,0.129063719
Aethopyga_siparaja,Crimson Sunbird,1559.75,105.925,Crimson Sunbird,936,123,Crimson Sunbird,178.525,27.625,1381.225,0.067911524,0.131410256,0.154740232
Alcippe_castaneceps,Rufous-winged Fulvetta,3137,460.9,Rufous-winged Fulvetta,2255,495,Rufous-winged Fulvetta,1648.3,1028.3,1488.7,0.146923813,0.219512195,0.623854881
Alcippe_nipalensis,Nepal Fulvetta,2111.05,55.4,Nepal Fulvetta,993.5,133,Nepal Fulvetta,413,-108.575,1698.05,0.026242865,0.133870156,-0.262893462
Alcippe_vinipectus,White-browed Fulvetta,3692.1,163.9,White-browed Fulvetta,2928,135,White-browed Fulvetta,2123.2,-4.225,1568.9,0.04439208,0.046106557,-0.001989921
Alophoixus_flaveolus,White-throated Bulbul,1067,-666.85,White-throated Bulbul,590,-16,White-throated Bulbul,142,0,925,-0.62497657,-0.027118644,0
Anthracoceros_albirostris,Oriental Pied-Hornbill,490.5,-2.825,Oriental Pied-Hornbill,187,18.75,Oriental Pied-Hornbill,104.5,10.55,386,-0.005759429,0.10026738,0.100956938
Anthus_hodgsoni,Olive-backed Pipit,3642.8,752.8,Olive-backed Pipit,2306,768.5,Olive-backed Pipit,363,209.95,3279.8,0.206654222,0.333261058,0.578374656
Anthus_rufulus,Paddyfield Pipit,1622,112.5,Paddyfield Pipit,783,533,Paddyfield Pipit,106.05,6.225,1515.95,0.069358816,0.680715198,0.058698727
Arachnothera_magna,Streaked Spiderhunter,2082.55,343.55,Streaked Spiderhunter,815,201,Streaked Spiderhunter,185.15,43.575,1897.4,0.164966027,0.246625767,0.235349716
Arborophila_torqueola,Hill Partridge,3389,675.675,Hill Partridge,2453,561.5,Hill Partridge,1739,0,1650,0.199372971,0.228903384,0
