Tree.name,Species,Median_S_upper,Median_diff_upper,Species,Median_S_median,Median_diff_median,Species,Median_S_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Abroscopus_albogularis,Rufous-faced Warbler,1060.35,90.3,Rufous-faced Warbler,640,20,Rufous-faced Warbler,402.55,-209.85,657.8,0.08516056,0.03125,-0.521301702
Abroscopus_schisticeps,Black-faced Warbler,2722,-1659.55,Black-faced Warbler,2137,98,Black-faced Warbler,1651.425,797.2,1070.575,-0.609680382,0.04585868,0.482734608
Abroscopus_superciliaris,Yellow-bellied Warbler,1440.25,-1674.7,Yellow-bellied Warbler,618,-21.5,Yellow-bellied Warbler,230.4,44.4,1209.85,-1.162784239,-0.034789644,0.192708333
Aceros_nipalensis,Rufous-necked Hornbill,2023.8,52.15,Rufous-necked Hornbill,1341,264,Rufous-necked Hornbill,257.5,-152,1766.3,0.025768357,0.196868009,-0.590291262
Aceros_undulatus,Wreathed Hornbill,682.625,-835.65,Wreathed Hornbill,162,-88.75,Wreathed Hornbill,135,17.875,547.625,-1.224171397,-0.547839506,0.132407407
Acridotheres_fuscus,Jungle Myna,1429.25,4.25,Jungle Myna,981,-365,Jungle Myna,44.8,-55.4,1384.45,0.002973588,-0.372069317,-1.236607143
Acridotheres_grandis,Great Myna,1411,-262.575,Great Myna,262,10.5,Great Myna,129.05,43.95,1281.95,-0.186091425,0.040076336,0.340565672
Acridotheres_tristis,Common Myna,1734,-63.1,Common Myna,981,-199,Common Myna,96.175,-6.45,1637.825,-0.03638985,-0.20285423,-0.067065246
Actinodura_egertoni,Rusty-fronted Barwing,2480.75,17.15,Rusty-fronted Barwing,1823,38,Rusty-fronted Barwing,1107.05,452.725,1373.7,0.006913232,0.020844761,0.408947202
Actinodura_nipalensis,Hoary-throated Barwing,3140,255.65,Hoary-throated Barwing,2605,207,Hoary-throated Barwing,1732.95,53.325,1407.05,0.081417197,0.079462572,0.030771228
Aegithalos_concinnus,Black-throated Tit,2990.2,47.8,Black-throated Tit,1960,-12,Black-throated Tit,1366.725,281.9,1623.475,0.015985553,-0.006122449,0.206259489
Aegithalos_iouschistos,Black-browed Tit,3719.4,381.9,Black-browed Tit,2809,162,Black-browed Tit,2274.35,-85.175,1445.05,0.102677851,0.057671769,-0.037450261
Aegithina_tiphia,Common Iora,1543.5,134,Common Iora,208.5,-62.25,Common Iora,75.05,-22.825,1468.45,0.086815679,-0.298561151,-0.30413058
Aethopyga_ignicauda,Fire-tailed Sunbird,4125.1,874.35,Fire-tailed Sunbird,3137,1182,Fire-tailed Sunbird,1419,140.6,2706.1,0.211958498,0.376793114,0.099083862
Aethopyga_nipalensis,Green-tailed Sunbird,3310,633,Green-tailed Sunbird,2463,724,Green-tailed Sunbird,1739,781.4,1571,0.191238671,0.293950467,0.4493387
Aethopyga_saturata,Black-throated Sunbird,2404.925,376.95,Black-throated Sunbird,1556.5,885,Black-throated Sunbird,382,61.7,2022.925,0.156740855,0.56858336,0.161518325
Aethopyga_siparaja,Crimson Sunbird,1569.975,117.175,Crimson Sunbird,948,135,Crimson Sunbird,176.15,28.825,1393.825,0.074634946,0.142405063,0.163638944
Alcippe_castaneceps,Rufous-winged Fulvetta,3137,460,Rufous-winged Fulvetta,2251,491.5,Rufous-winged Fulvetta,1641.85,1021.85,1495.15,0.146636914,0.218347401,0.622377196
Alcippe_nipalensis,Nepal Fulvetta,2108.5,68.225,Nepal Fulvetta,994,128.5,Nepal Fulvetta,411.1,-102.575,1697.4,0.032357126,0.129275654,-0.2495135
Alcippe_vinipectus,White-browed Fulvetta,3693.4,217.675,White-browed Fulvetta,2914.5,126,White-browed Fulvetta,2097.875,13.825,1595.525,0.058936211,0.043232115,0.006590002
