Tree.name,GENUS,SPECIFICC,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Median_S_median,Median_W_median,Median_diff_median,Median_S_upper,Median_W_upper,Median_diff_upper,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Treron_phoenicopterus,Treron,phoenicopterus,Yellow-footed Green-Pigeon,268.8,245,26,388,388,0,780.2,3326.35,-2533.25,511.4,-0.246923866,0,0.09672619
Nyctyornis_athertoni,Nyctyornis,athertoni,Blue-bearded Bee-eater,272,272.9,-1,591,575,6,1011,1310.075,-330.35,739,-0.326755687,0.010152284,-0.003676471
Dicaeum_erythrorhynchos,Dicaeum,erythrorhynchos,Pale-billed Flowerpecker,589,395.7,179.65,664,664,0,802.975,1011,-194,213.975,-0.241601544,0,0.305008489
Prinia_socialis,Prinia,socialis,Ashy Prinia,272,272,0,584,599,-15,848.4,1011,-161.85,576.4,-0.190770863,-0.025684932,0
Lonchura_malabarica,Lonchura,malabarica,Indian Silverbill,272,269.5,0,345.5,336,7,692,832.6,-129.2,420,-0.186705202,0.020260492,0
Aegithina_tiphia,Aegithina,tiphia,Common Iora,269.35,272,-4.55,391,399,-1,1007,1122.65,-158.85,737.65,-0.15774578,-0.002557545,-0.016892519
Chloropsis_hardwickii,Chloropsis,hardwickii,Orange-bellied Leafbird,622.05,378.8,241.75,1248.5,666,582.5,1736.5,2044.2,-260.7,1114.45,-0.150129571,0.466559872,0.388634354
Pellorneum_ruficeps,Pellorneum,ruficeps,Puff-throated Babbler,354,425.225,-69.25,602,602,0,1004.5,1141.05,-125.45,650.5,-0.124888004,0,-0.195621469
Vanellus_indicus,Vanellus,indicus,Red-wattled Lapwing,272,264.7,7.3,434,399,37,1092.5,1210.8,-136.175,820.5,-0.124645309,0.085253456,0.026838235
Merops_orientalis,Merops,orientalis,Green Bee-eater,272,301,-29,372,653,-281,731.85,826.65,-85.825,459.85,-0.117271299,-0.755376344,-0.106617647
Pomatorhinus_schisticeps,Pomatorhinus,schisticeps,White-browed Scimitar-Babbler,595.95,438,153,1298,1039,225,2082.8,2389.25,-235.05,1486.85,-0.11285289,0.173343606,0.256732947
Megalaima_haemacephala,Megalaima,haemacephala,Coppersmith Barbet,272,272,0,595,580,13.5,861,956,-95,589,-0.110336818,0.022689076,0
Amandava_amandava,Amandava,amandava,Red Avadavat,266,245,20.9,272,372,-79.5,602,666,-60.15,336,-0.099916944,-0.292279412,0.078571429
Pycnonotus_melanicterus,Pycnonotus,melanicterus,Black-crested Bulbul,312.25,372.925,-59.75,443,421,17.5,1124,1243.9,-111.55,811.75,-0.099243772,0.039503386,-0.191353082
