Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Species,Median_S_median,Median_W_median,Median_diff_median,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Abroscopus_schisticeps,Black-faced Warbler,2893,2417,476,Black-faced Warbler,2152,2145,12,Black-faced Warbler,1500.2,1332,183.35,1392.8,0.164535085,0.005576208,0.122217038
Acridotheres_fuscus,Jungle Myna,1952,1672.65,276.85,Jungle Myna,827,666,161,Jungle Myna,386.975,272,116,1565.025,0.141828893,0.194679565,0.299760966
Acridotheres_ginginianus,Bank Myna,1302.9,905,377.9,Bank Myna,432.5,368,73,Bank Myna,259.425,245.3,9.5,1043.475,0.290045284,0.168786127,0.036619447
Acridotheres_tristis,Common Myna,2417,2199.05,217.95,Common Myna,1011,892,121,Common Myna,272,272,0,2145,0.090173769,0.119683482,0
Aegithalos_concinnus,Black-throated Tit,2623.55,2417,204.6,Black-throated Tit,2096,2007,91,Black-throated Tit,1346.6,1260.85,81.15,1276.95,0.077985935,0.043416031,0.060262884
Aegithina_tiphia,Common Iora,1010.4,1214,-175.55,Common Iora,388,396,-1,Common Iora,269.9,272.35,-7.3,740.5,-0.173743072,-0.00257732,-0.027047054
Aethopyga_nipalensis,Green-tailed Sunbird,2737.65,2417,321,Green-tailed Sunbird,2417,1504,913,Green-tailed Sunbird,1576.25,736.025,847.525,1161.4,0.117253849,0.377741001,0.537684377
Aethopyga_siparaja,Crimson Sunbird,1565,1276.5,282.55,Crimson Sunbird,664,658,3.75,Crimson Sunbird,326,321,5,1239,0.180543131,0.00564759,0.015337423
Alectoris_chukar,Chukar,4543.75,4211,332.75,Chukar,3540,3373,167,Chukar,1818.975,1844.025,-41.05,2724.775,0.073232462,0.047175141,-0.022567655
Anthracoceros_albirostris,Oriental Pied-Hornbill,829.6,827,29.8,Oriental Pied-Hornbill,484,602,-118,Oriental Pied-Hornbill,268.85,261.85,1.275,560.75,0.035920926,-0.243801653,0.004742421
Anthus_hodgsoni,Olive-backed Pipit,3628,2173.7,1455,Olive-backed Pipit,1794,1309,484,Olive-backed Pipit,272,272,0,3356,0.401047409,0.269788183,0
Anthus_rufulus,Paddyfield Pipit,1286.5,925.475,357.4,Paddyfield Pipit,387.5,342,42,Paddyfield Pipit,245,240.55,7.025,1041.5,0.277808006,0.108387097,0.028673469
Anthus_sylvanus,Upland Pipit,2695.375,2173.55,537.825,Upland Pipit,1913,1913,0,Upland Pipit,1237,845.45,404,1458.375,0.199536243,0,0.326596605
Arborophila_torqueola,Hill Partridge,2893,2499,394,Hill Partridge,2173,2162.5,10.5,Hill Partridge,1501.3,1553.1,-18.425,1391.7,0.136190805,0.004832029,-0.012272697
Athene_brama,Spotted Owlet,827,827,0,Spotted Owlet,388,368,30,Spotted Owlet,272,263.675,8.25,555,0,0.077319588,0.030330882
Carduelis_carduelis,European Goldfinch,3625,3223.8,419.5,European Goldfinch,2417,1613,807,European Goldfinch,1231.25,861,370,2393.75,0.115724138,0.333884981,0.300507614
Carduelis_spinoides,Yellow-breasted Greenfinch,2826,2417,409,Yellow-breasted Greenfinch,2173,1775,397.5,Yellow-breasted Greenfinch,783.55,272,503.05,2042.45,0.14472753,0.182926829,0.642013911
Carpodacus_nipalensis,Dark-breasted Rosefinch,3477,2417,1060,Dark-breasted Rosefinch,2417,2174,243,Dark-breasted Rosefinch,1844.3,1572.9,288.3,1632.7,0.304860512,0.100537857,0.156319471
Carpodacus_rodochroa,Pink-browed Rosefinch,3425,2560.1,849.875,Pink-browed Rosefinch,2093,1962.5,120.75,Pink-browed Rosefinch,1415,1290.1,143.55,2010,0.248138686,0.057692308,0.101448763
