Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Median_S_median,Median_W_median,Median_diff_median,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Treron_phoenicopterus,Yellow-footed Green-Pigeon,859.025,3353.5,-2484.075,388,388,0,268.125,245,22.7,590.9,-0.891737726,0,0.084662005
Nyctyornis_athertoni,Blue-bearded Bee-eater,1011,1397,-358.55,559.5,535,0,272,281,-9.75,739,-0.354648863,0,-0.035845588
Prinia_socialis,Ashy Prinia,923.9,1164,-220.8,458.5,593,-132.25,272,272,0,651.9,-0.238986903,-0.288440567,0
Dicaeum_erythrorhynchos,Pale-billed Flowerpecker,815.25,1011,-191.15,664,664,0,585.225,392.4,163.325,230.025,-0.234467955,0,0.279080695
Lonchura_malabarica,Indian Silverbill,640.8,832.6,-148.9,339,333,8.5,272,271.5,0,368.8,-0.232365793,0.025073746,0
Aegithina_tiphia,Common Iora,1009.9,1222.7,-207.325,388,396,0,269.4,272,-7,740.5,-0.205292603,0,-0.025983667
Megalaima_haemacephala,Coppersmith Barbet,861,1011,-145,591,580,11,272,272,0,589,-0.168408827,0.018612521,0
Pellorneum_ruficeps,Puff-throated Babbler,1052.7,1255,-158.275,602,602,0,354,421,-69.95,698.7,-0.150351477,0,-0.19759887
Merops_orientalis,Green Bee-eater,723.075,827,-97.85,372,653,-281,272,300.2,-28.2,451.075,-0.135324828,-0.755376344,-0.103676471
Pycnonotus_melanicterus,Black-crested Bulbul,1145.8,1279.8,-113.775,442.5,410,19.5,319.225,374.275,-55.2,826.575,-0.099297434,0.044067797,-0.172918788
Ocyceros_birostris,Indian Gray Hornbill,941.075,1011,-74.075,602,602,0,272,272,0,669.075,-0.078713174,0,0
Lanius_vittatus,Bay-backed Shrike,1007,1045.5,-76.65,368,326,42,270.5,272,-2.25,736.5,-0.07611718,0.114130435,-0.00831793
Vanellus_indicus,Red-wattled Lapwing,1226.825,1332,-90.8,414,388,21,272,263.85,8.15,954.825,-0.074012186,0.050724638,0.029963235
Ninox_scutulata,Brown Boobook,880.05,934.775,-57.3,474.5,602,-127.25,324,321.15,5.25,556.05,-0.065109937,-0.268177028,0.016203704
Orthotomus_sutorius,Common Tailorbird,1157,1227,-72.825,602,602,0,272,272,0,885,-0.062942956,0,0
Strix_leptogrammica,Brown Wood-Owl,2202.8,2322.25,-119.45,1549.5,1380.5,169,953.55,630.8,322.75,1249.25,-0.054226439,0.109067441,0.338472026
Psittacula_krameri,Rose-ringed Parakeet,1316.7,1369.85,-69.15,602,602,0,272,272,0,1044.7,-0.052517658,0,0
Pomatorhinus_schisticeps,White-browed Scimitar-Babbler,2173.3,2276.95,-103.65,1135.5,1039,2.25,579.3,438,141.3,1594,-0.047692449,0.001981506,0.24391507
Pycnonotus_jocosus,Red-whiskered Bulbul,782.8,827,-29.8,409,409,0,272,264.25,7.45,510.8,-0.038068472,0,0.027389706
Gallus_gallus,Red Junglefowl,1526.175,1581.25,-56.275,457,602,-145,272,279.95,-7.95,1254.175,-0.036873229,-0.317286652,-0.029227941
Ketupa_zeylonensis,Brown Fish-Owl,1648.575,1713.7,-59.75,1245.25,1332,-66.25,285.85,345.95,-47.1,1362.725,-0.036243422,-0.053202168,-0.164771733
