"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Eurasian Tree Sparrow",1,1372,1361,1448,1584,1507,1722,-201,-336.5125,-114.4875
"Large-billed Crow",0,2019,1927.5,2089,1961,1922,2074,47.5,-95,134.0125
"Long-tailed Minivet",2,1944.5,1845.825,2192,849,695,960.5,1088,926.9625,1361.075
"Plumbeous Redstart",2,2235,2101.5,2265.5,1435.5,1284.5,1584,784.75,596.4125,951.025
"White-capped Redstart",2,3097,2948,3383,1416,1270,1522.075,1728,1517.9125,2053.025
"Ashy-throated Warbler",2,2557.5,2542,2627,1948,1883.5,2053.5,612,505.975,701.0375
"Bhutan Laughingthrush",2,2463,2318,2468.5,2018,1941,2114,421,234.475,522
"Buff-barred Warbler",2,3658.5,3638.5,3704,1812,1665,1863.5,1841.5,1785.5,2013
"Fire-breasted Flowerpecker",2,1934,1739,1998.125,1560,1502,1660.5,371.25,179,452.5625
"Green-backed Tit",0,2015,1974,2074,1990,1961,2068.5,20.75,-63,106
"Indian White-eye",0,1037,989,1140,1074,1067,1115,-37,-100.5,66
"Lemon-rumped Warbler",2,2546,2500,2561,1716,1547.5,1812.1375,837,715.9375,1007.0125
"Yellow-bellied Fairy-Fantail",2,2500,2375,2548,1074,984,1144,1413,1283.5,1527
"Chestnut-tailed Minla",2,2500,2438,2605,2251,2197.5,2368,241.5,93.9875,361.5125
"Golden Babbler",2,1305,1244.5,1447,934,559.8,1208,382.5,168.3,748
"Gray-sided Laughingthrush",0,2065.5,1957.625,2364.875,2042,1978.5,2089,24,-86.375,362.375
"Green-tailed Sunbird",2,2340,2265,2370,1843,1804.5,1861,496.75,426.5,556.0125
"Rufous-capped Babbler",0,2002,1951,2081,2029,1959,2065.05,-15,-99.5125,87.0375
"Rufous-vented Yuhina",2,2902,2839,3006,1739,1739,1935,1152,946,1267
"Striated Bulbul",0,1823,1749.8625,1910.525,1829.5,1739,1945.4625,5,-152.0375,153.55
"Yellow-cheeked Tit",2,2002,1903,2032,1827,1752.85,1982,167.5,16.85,252.525
"Ashy Bulbul",1,677,618,694,833,809.8,948,-190.5,-305,-128.1
"Blue-throated Barbet",1,515,513,534,618,545,676,-103,-155.05,-30
"Bronzed Drongo",2,911,679,954,658,595,766,249,31.9375,329
"Chestnut-bellied Nuthatch",0,878.5,665,922,772,677,898,101,-117.025,223.05
"Common Hill Myna",0,314.5,306,415,245,207,340,74,-25,168
"Golden-fronted Leafbird",0,421,368.2875,440,232,182,425.1375,177,-8.85,250
"Gray-bellied Tesia",2,1934,1904.25,1953.5,647,647,759.95,1287,1144.3,1306.5
"Lesser Racket-tailed Drongo",2,1032.5,964.675,1077.2125,526,493.125,603.45,485.75,384.9625,567.9875
"Long-tailed Sibia",2,994,960,1084,830,655.5,833,164,127,357.5
"Maroon Oriole",2,1571.5,1383,1739,489,408.4875,517,1077,894,1250
"Pin-tailed Green-Pigeon",0,440,400.975,491,500.5,331,636,-60.5,-200,116
"Pygmy Cupwing",2,2042,1966.3125,2094.1875,833,833,833,1209,1133.3125,1263.6875
"Red-headed Trogon",2,1084,1067,1300.7875,895.5,833,960,234,140.1,451.5
"Rufous Woodpecker",2,1058.75,673.6875,1198,632.5,489,833,440,115,708.925
"Rufous-necked Hornbill",2,1377,1329,1598.5,1067,918.1,1069,310,262,541.924999999999
"Rusty-fronted Barwing",2,1739,1739,1823,1603.5,1487,1726.5,139.5,12.5,283
"Streaked Spiderhunter",2,1084,960,1196,540,504,585,532.5,411.4375,651.5375
"Sultan Tit",2,1067,991.5,1107,833,802.5,941,196.5,78.5625,309
"White-throated Bulbul",2,540,518.5,557,489,489,523,51,17,76.5
"Blue Whistling-Thrush",2,2099,2062.875,2192.5125,1730,1673,1812,364,273,478
"Crested Kingfisher",1,742,641,906,1270,1237,1700.375,-549.5,-958.875,-364
"White-throated Kingfisher",0,199,195.5,208,145,128.5,213.5,54,-14.5625,72.0125
"Great Barbet",2,1556,1501,1594,1309,1259,1359,248,175.4875,306.025
"Great Hornbill",0,459.5,440,534.5,482,378.5,540,-1,-95.5,134.5
"Lesser Necklaced Laughingthrush",0,844.5,660,929.5,824,647,948,15,-211.025,235
"Orange-bellied Leafbird",1,948,905,1001,1074,1067,1121,-145.25,-204,-69.5
"Red-tailed Minla",2,2327.5,2251,2390,1497,1466,1637.5,824,682.375,907.0125
"White-crested Laughingthrush",0,991.5,954,999,948,948,1018,26,-41.025,51
"Black Bulbul",2,1556,1497.9625,1593.05,1215,1115,1270,344,265,452
"Black-hooded Oriole",0,137,120.4875,142,145.5,140,167,-14,-41.05,0
"Black-throated Tit",0,1843,1784,1927,1927,1843.5,1960.025,-68,-149.5375,34.0375
"Common Iora",0,306,199,385.2,337,250,465,-57.75,-223.15,71.5375
"Golden-throated Barbet",2,1595,1555,1665,1412.5,1359,1518,198,64.95,305
"Gray-capped Pygmy Woodpecker",1,447,440,534.5,898,843,1035,-438,-561.6875,-320
"Gray-hooded Warbler",2,1561,1473,1639.125,1463,1430,1502.6125,102.75,3,180.5125
"Hill Partridge",0,2338.5,2214,2370,1982,1945,2351.6,321,0,416.2
"Little Pied Flycatcher",2,1812,1707,1884,588,392.5,849.6,1211,914.9,1416.8
"Mountain Bulbul",1,1473,1374.8875,1555,1608,1507,1728,-131,-266.0375,-12.5
"Spotted Dove",2,531,414,606.5,246.5,217.475,263,282,164,363
"Verditer Flycatcher",2,1823,1766,1840,563.5,337.875,729.5,1238.5,1082.375,1467.6875
"White-naped Yuhina",0,1273,1222,1361,1240,1180,1289,41,-32.5,138.1
"White-throated Fantail",2,1665,1536,1739,669,606,804.724999999999,988,819,1107.05
"Asian Pied Starling",0,139,139,139,132.5,119,145.0125,6.5,-6.0125,20
"Beautiful Sibia",2,2089,2011,2089,1739,1739,1739,350,272,350
"Black-throated Sunbird",2,1343.5,1273,1458,833,774,899.1125,510.5,406,636.0125
"Brownish-flanked Bush Warbler",2,2011,2011,2011,1563,1563,1563,448,448,448
"Bay Woodpecker",0,1650,1425,1736.0375,1386.5,1228,1568,227.75,-0.0124999999999993,394.5
"Olive-backed Pipit",2,2807.5,2771,3006,1886,1802,1935.5125,932.5,843.5,1139
"Small Niltava",2,1455.5,1289,1557.0625,775,601,833,683.75,498,897.5125
"Ashy Drongo",2,1609.5,1563.4625,1673,846,813,898,765,703.425,850.5
"Blue-winged Laughingthrush",2,2002,1953,2089,1491.5,1303,1607,520.5,378.475,730.75
"Hair-crested Drongo",2,728,647,905.5,447,368.9875,515,284,180.925,487.5375
"Silver-eared Mesia",2,1222,1084,1269,695,584.5,788,524.5,380.4875,655.5
"Red-vented Bulbul",1,646,618,695,878,843,948,-226.75,-307,-170
"Tickell's Leaf Warbler",2,2232.5,2016.5,2411,1068,310.875,1074,1238,944,1989.425
"Red-breasted Parakeet",0,142,139,178.1,142,128.625,166.6,0,-20.75,36.05
"Chestnut-crowned Laughingthrush",2,2463,2438,2526,2387,2345,2434.5,77.5,27.975,140.025
"Gray-cheeked Warbler",2,1756.5,1739,1843,937,618,1385,826,378,1191.5
"Streak-breasted Scimitar-Babbler",0,2390,2317.65,2443,2368,2334,2413,22,-64.0375,89
"Striated Laughingthrush",0,1903,1809.9625,1953,1761,1739,1846,104,-16.05,202.05
"Wedge-tailed Green-Pigeon",2,1846.5,1739,1920,1123,833,1307.05,753,491.9,1070
"Yellow-breasted Greenfinch",2,2526,2448,2538,2094,2013,2259,424,232.9625,519
"Black-winged Cuckooshrike",2,1400.5,1212,1447,489,331.925,489,913,741,1071.3125
"Blyth's Leaf Warbler",2,2387.5,2340.9875,2421,842.5,514.8625,1149,1546.25,1240.95,1874
"Slaty-bellied Tesia",2,1780,1739,2002,557,489,804,1212,990.3125,1443.725
"Chestnut-crowned Warbler",2,2058.5,2007,2111,1591,1476,1749.5,490.5,313.825,614
"Rufous-winged Fulvetta",2,2147,2081,2303,1820,1743,1860,332.25,238,507.5125
"Gray-throated Babbler",0,911,843,960,948,886.4,1013.5,-28.5,-128.0375,58.5749999999999
"Pin-striped Tit-Babbler",2,457,421,494.5,250,206,316.5,209,138,264.5125
"Puff-throated Babbler",2,421,366.5625,482.475,242.25,194.625,300.45,178.75,91.55,229.9375
"Black-tailed Crake",2,2440,2364,2538,2328.5,2301,2336,111.5,47.8,210.2
"Blue-winged Minla",2,1934,1844,1973,1377,1265,1402,552,465,681
"Blyth's Shrike-Babbler",2,1739,1687,1905.3,1168,997,1320,584.5,398.5,798
"Gray Bushchat",2,2200,2074,2259,1507,1465,1624.5,662.5,510,754.5125
"Gray-headed Canary-Flycatcher",2,1739,1739,1739,614,540,713.5,1125,1025.5,1199
"Nepal Fulvetta",0,971.5,960,997.5875,937,857.5,1069,26,-107,123.5875
"Russet Sparrow",0,2291.5,2265.5,2317,2324,2312,2345,-32,-72.025,0
"White-tailed Nuthatch",2,2066,1981,2204.5625,1961,1903,2022,97,2,243.5125
"Gray-sided Bush Warbler",2,3156,3146,3361,1360,1231,1518,1795,1638,2000.25
"Plain Mountain Finch",2,4217,4217,4217,2739,2739,2739,1478,1478,1478
"Himalayan Bulbul",2,1260,1156.5,1301,1067,955,1110,187.5,72,300.1125
"Oriental Turtle-Dove",2,2332,2312,2366,1669,1574.9625,1732.05,665.5,594.4625,762.5375
"Rufous Sibia",2,2318,2258.9,2412,2141.5,2074,2208,179,79,287.0375
"Large Niltava",2,1739,1718.5,1768,1482,1377,1539,257,200,362
"Lineated Barbet",2,203.5,172,245,142,142,182,57,12.9375,100.1875
"White-rumped Shama",2,454,412.35,515,196,167,251.9,258.25,200.7625,319.95
"Greater Necklaced Laughingthrush",0,540,482,559,725.5,489,898,-180.75,-383,51
"Greater Yellownape",0,1195.5,1067,1327.1,966,922,1074,217,0,380.5625
"Red Junglefowl",0,472,358,513,262,232,476,189,-22.8,259.3
"Asian Emerald Dove",0,501,432.5875,549.1,445.5,322.575,489,54.5,-31.375,192.75
"Black-crested Bulbul",0,440.5,433,532,385,314.4375,463,66,-11,173
"Common Green-Magpie",0,990,954,1034,972.75,902,1070.5,22,-101,101.0375
"Oriental Magpie-Robin",1,429.5,355,513,767,695,815,-322.5,-411.025,-185
"Common Myna",0,514,425.875,557,563,447,802,-67.75,-305,94
"Common Tailorbird",1,513,470.5,515,721,618,775,-218.5,-286.5,-105
"Red-wattled Lapwing",0,199,199,208,241,208,250,-40.5,-51,0
"Rufous-gorgeted Flycatcher",2,2928,2847,3046,1402,1360.1,1495,1520,1395.5,1684
"Whiskered Yuhina",2,2019.25,1979,2068.5,1540,1501,1595.1125,479.5,409,544.025
