"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,3605,3566,3621,394,354,409,3213,3168,3255.05
"Common Myna",0,827,827,861,788.5,761,827,43,0,83.0125
"Crimson Sunbird",0,664,664,664,653,653,664,11,0,11
"Gray Bushchat",2,2035,2009,2046,827,827,827,1208,1182,1219
"Gray-hooded Warbler",2,1966,1957.9875,1994,1496.5,1437,1537,472,428.975,529
"Himalayan Bulbul",2,1365,1347.5,1378.5,1219,1194,1233,146,125,173.5125
"House Sparrow",2,1579,1557,1580,1243,1214.9875,1266,332,301,362
"Large-billed Crow",2,1585,1580,1601,1496,1425.9875,1542,88.25,42,161
"Red-vented Bulbul",0,653,646.9625,653,653,653,653,0,-6.0375,0
"Rufous Treepie",0,602,602,602,601,591,602,1,0,11
"Russet Sparrow",2,1862,1862,1888,1791.5,1745.975,1795,81,67,129.0125
"Yellow-billed Blue-Magpie",2,2122,2071.5,2146,1810,1810,1847.1,308.5,257.4875,336
"Blue Whistling-Thrush",2,2049,2049,2067,1603.25,1591,1613,448,436,465
"Eurasian Jackdaw",0,1608.5,1603,1615,1605,1602,1613,2.5,-10,11
"European Goldfinch",2,2630,2565,2641.5,1612,1603.5,1613,1020,953,1036
"House Crow",0,440,409,539.075,412,409,449.05,18.5,-25.025,106.7125
"Rose-ringed Parakeet",2,638,637,638,602,602,602,36,35,36
"Streaked Laughingthrush",2,1994,1957.4875,2011,1913,1905,1926,81,44.4875,102.0125
"Bar-tailed Treecreeper",2,2040,2017,2054,1810,1791,1862,229,174.9875,258
"Coal Tit",2,2499,2471,2540,2105,2096,2115,395,363,434
"Plain Mountain Finch",2,3860,3704.3375,3961.5,2093,2054,2115,1773.5,1611.5,1883.5
"Rock Bunting",2,2712,2700.925,2742,1987,1931,2014.5,728,693,787.025
"Yellow-breasted Greenfinch",2,2174,2173,2187.0125,1802,1743,1870,372,304,434.025
"Plumbeous Redstart",2,2152.5,2129.5,2173,1040,1011,1088,1111.5,1057.9875,1162
"Black Bulbul",2,1861,1832,1862,1255,1238,1264,607,579,621.025
"Cinereous Tit",2,1255,1236,1278,1011,962,1050,242,193.975,300.525
"Green-backed Tit",2,2145.5,2115,2169,2046,2035,2054,97,69,124
"Oriental Turtle-Dove",2,2173,2173,2173,833,666,1254,1340,919,1507
"Common Rosefinch",2,3187,3182,3198,1332,1268.75,1399,1855,1790.9625,1919.125
"Great Barbet",2,1943,1931,1949,1725.5,1690.5,1750.025,217.5,187.9875,252.0125
"Ashy Drongo",2,1952,1943,1974,666,664,667.125,1288,1277,1308
"Gray-winged Blackbird",2,2035,2035,2051.5,1612,1574.5,1667,426.5,368,469
"White-capped Redstart",2,2770.5,2710,2827,1254,1237,1267,1516.5,1455,1576
"Spotted Dove",2,664,664,664,602,602,602,62,62,62
"Black-headed Jay",2,2035,2035,2036.5375,2006,1952,2023,35,12,83
"Gray-headed Canary-Flycatcher",2,2093,2067,2109.525,602,602,602,1491,1465,1507.525
"Indian White-eye",0,666,664,666,654,653,664,11,0,13
"Rock Pigeon",0,653,638,660,638,602,645.0125,16,0,51.5125
"Scaly-bellied Woodpecker",2,2084,2035,2126.0875,1913,1908.5,1924,169.5,122,215.525
