"t","pvalue","df","dataset"
-0.563751040615857,0.57383855192702,138,"05.q1.sam30"
-0.459539222352699,0.646980244078304,88,"05.q1.sam60"
-0.589919765070518,0.556132035100887,150,"05.q2.sam30"
-0.573779871866493,0.567418030529784,99,"05.q2.sam60"
-0.529111449104532,0.597443564453924,164,"05.q3.sam30"
-0.718611186473226,0.473890494043247,111,"05.q3.sam60"
3.70601226408279,0.000303885311011772,138,"95.q1.sam30"
2.32240721968936,0.0225189736536955,88,"95.q1.sam60"
2.92989062415669,0.00392116901565894,150,"95.q2.sam30"
1.12457959904205,0.263486484747406,99,"95.q2.sam60"
2.24151539853341,0.02633427456525,164,"95.q3.sam30"
1.01326619909669,0.313136643778955,111,"95.q3.sam60"
-0.0362605524715839,0.971127002816491,138,"50.q1.sam30"
1.31310819076797,0.192560283655981,88,"50.q1.sam60"
0.355916434896832,0.722403211109129,150,"50.q2.sam30"
0.767916572244853,0.444364532774783,99,"50.q2.sam60"
-0.480840928492668,0.631270411223567,164,"50.q3.sam30"
-0.712377378581357,0.477725859521996,111,"50.q3.sam60"
