"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Species3","Tree.name","HWI","Diet"
"Kalij Pheasant",2,905.3,755.95,1082.3175,489,233.2125,544.75,434.175,262.9,702.81,900,500,26.6295564460412,22.0305375155451,0.0103382610574248,0.00934240205925809,4.59901893049606,20.021826625387,9.52920536635707,0.0247815183021447,0.0153867428921848,10.4926212590299,17.1003510796841,"Lophura leucomelanos","Lophura_leucomelanos",17.7587268,"omnivore"
"Red Junglefowl",0,144.2,119.45,187.4,122.525,97.5675,142,22.975,-6.99375,67.695,100,100,31.0453254615774,26.3031200032799,0.00246270069158673,0.00168917054461957,4.74220545829746,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.998194689298,"Gallus gallus","Gallus_gallus",23.21714883,"omnivore"
"Indian Peafowl",0,98.3,96,102.295,95.3,74.4,115.12,2.64999999999999,-17.46,24.8,100,100,31.0453254615774,26.3031200032799,0.00246270069158673,0.00168917054461957,4.74220545829746,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.998194689298,"Pavo cristatus","Pavo_cristatus",28.71360931,"omnivore"
"Hill Partridge",0,1308.05,1103,1632.8575,1289.4,1172.1,1725,-21.5,-447.58,343.6525,1300,1300,24.5725767243999,19.9603312063203,0.0112184480742628,0.0117340827958435,4.61224551807961,14.8761166818596,4.77329079307201,0.0316789893227845,0.0229754654456803,10.1028258887876,19.7992859313279,"Arborophila torqueola","Arborophila_torqueola",25.19798408,"omnivore"
"Red-wattled Lapwing",0,82,77.94625,109.60125,81.3,55.6,106.8,3.2,-24.85125,38.4625,100,100,31.0453254615774,26.3031200032799,0.00246270069158673,0.00168917054461957,4.74220545829746,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.998194689298,"Vanellus indicus","Vanellus_indicus",43.2386972,"invertebrates"
"Great Hornbill",0,182,142,258.5,142,126.14,142,40,0,117.48,200,100,30.328356296059,25.7071718466304,0.00811646409562864,0.00461486597158153,4.6211844494286,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.2812255237796,"Buceros bicornis","Buceros_bicornis",25.70643239,"fruit"
"Rufous-necked Hornbill",0,584.5,332.5,841.914999999999,489,410.95375,629,82.4000000000001,-164.15,345.53125,600,500,28.1822649297046,23.5787050174126,0.0104819153002768,0.00816130871450377,4.60355991229202,20.021826625387,9.52920536635707,0.0247815183021447,0.0153867428921848,10.4926212590299,18.6530595633475,"Aceros nipalensis","Aceros_nipalensis",21.6271216,"fruit"
"Eurasian Hoopoe",2,1207,1198.4975,1217.85,81.5,75,107.87,1123.2,1099.095,1134.9375,1200,100,25.0893087161872,20.4820666952913,0.0109226545265803,0.0111869571864997,4.60724202089595,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,13.0421779439078,"Upupa epops","Upupa_epops",21.7746589,"invertebrates"
"Crested Kingfisher",0,211,203.05,258.2,253.5,161,354.82,-36,-146.82,67.72,200,300,30.328356296059,25.7071718466304,0.00811646409562864,0.00461486597158153,4.6211844494286,21.3894706224549,10.6652621956287,0.0163697346722889,0.0093670192425808,10.7242084268262,19.6630941004303,"Megaceryle lugubris","Megaceryle_lugubris",29.88208589,"vertebrates"
"White-throated Kingfisher",0,44,44,47.8025,69.4,45.05,88.2,-24.875,-43.76125,0.00124999999999897,0,100,30.8799486148347,26.2986930294906,0.00231790307769073,0.00191760276816597,4.58125558534406,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.8328178425553,"Halcyon smyrnensis","Halcyon_smyrnensis",20.24597458,"vertebrates"
"Bay Woodpecker",0,578.9,548.55,660.215,489,408.6775,599.20875,90.9999999999999,-17.1299999999999,184.86125,600,500,28.1822649297046,23.5787050174126,0.0104819153002768,0.00816130871450377,4.60355991229202,20.021826625387,9.52920536635707,0.0247815183021447,0.0153867428921848,10.4926212590299,18.6530595633475,"Blythipicus pyrrhotis","Blythipicus_pyrrhotis",12.33568599,"invertebrates"
"Greater Yellownape",2,243,177.25,353.13375,142.4,126.295,219.4025,92.975,6.89625000000001,198.31625,200,100,30.328356296059,25.7071718466304,0.00811646409562864,0.00461486597158153,4.6211844494286,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.2812255237796,"Picus flavinucha","Picus_flavinucha",23.75209001,"invertebrates"
"Gray-headed Woodpecker",0,202.8,150.65,306,250,146.9125,335.17,-50.4,-150.9875,93.7274999999999,200,200,30.328356296059,25.7071718466304,0.00811646409562864,0.00461486597158153,4.6211844494286,21.9024564776247,11.1792748050838,0.0125342086895257,0.00661594515077385,10.7231816725409,19.1490814909752,"Picus canus","Picus_canus",25.20374788,"invertebrates"
