"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"Greater Coucal",0,1425,1425,1582.46,1353,979.6,1425,73.649999999999,0,492.77,1400,1400,24.2181987867475,19.2667599937782,0.0117237563642757,0.00967725839125455,4.95143879296936,14.5616503344221,3.75029553585317,0.0269276097642542,0.0317009137275114,10.811354798569,20.4679032508943,"Centropus_sinensis","Centropus sinensis",13.23180548,"vertebrates"
"Eurasian Collared-Dove",0,1351.8,1310.39,1472.3425,1322.7,1296.19,1441.15,22.5,-106.11,136.0425,1400,1300,24.2181987867475,19.2667599937782,0.0117237563642757,0.00967725839125455,4.95143879296936,15.184315456485,4.26935187228721,0.0259893392993852,0.0310869175008258,10.9149635841977,19.9488469144603,"Streptopelia_decaocto","Streptopelia decaocto",37.84538878,"omnivore"
"Oriental Turtle-Dove",2,3229,3140,3271.815,3036.1,2926,3100.2,180.05,55.1999999999994,308.805000000002,3200,3000,15.7495153743316,10.4962901069519,0.0223981117374672,0.0248796193002895,5.25322526737968,4.73665573770492,-5.52611475409836,0.0304802310246357,0.0462052605621169,10.2627704918033,21.27563012843,"Streptopelia_orientalis","Streptopelia orientalis",32.75114632,"omnivore"
"Spotted Dove",0,1739.2,1653.585,1830.155,1585,1425,1768.8,161.350000000001,-44.8537500000012,357.01,1700,1600,22.6584098737084,17.7350937619594,0.0128699461135887,0.0122854367735506,4.92331611174895,13.3181259330816,2.63019232458066,0.0292256301139292,0.033420129195188,10.6879336085009,20.0282175491277,"Stigmatopelia_chinensis","Streptopelia chinensis",30.6093332,"seeds"
"Snow Pigeon",2,4624.4,4417.255,4834.5,4215.2,4126.15,4230.8,412.8,208.51375,620.713749999999,4600,4200,10.8986986077284,3.95176124177542,0.0142323611003212,0.0158427587618256,6.94693736595296,-0.81966472303207,-12.2686880466472,0.0200742133395308,0.0339392759209171,11.4490233236152,23.1673866543756,"Columba_leuconota","Columba leuconota",44.49828857,"seeds"
"Collared Scops-Owl",0,1425,1425,1425,1469.1,1425,1574.1875,-44.0999999999997,-149.187499999998,0,1400,1500,24.2181987867475,19.2667599937782,0.0117237563642757,0.00967725839125455,4.95143879296936,13.9486375450658,3.19685587322881,0.0280955325359026,0.0325298947366589,10.751781671837,21.0213429135187,"Otus_lettia","Otus lettia",25.56417656,"invertebrates"
"Spotted Owlet",0,1425,1425,1425,1425,1425,1425,0,0,0,1400,1400,24.2181987867475,19.2667599937782,0.0117237563642757,0.00967725839125455,4.95143879296936,14.5616503344221,3.75029553585317,0.0269276097642542,0.0317009137275114,10.811354798569,20.4679032508943,"Athene_brama","Athene brama",29.247852,"invertebrates"
"Great Hornbill",0,998.55,835.67375,1269.55375,1055.95,833,1349.1625,-32.6499999999988,-315.14875,237.88375,1000,1100,26.2442261679889,21.3225853167107,0.0106403243696162,0.00747882300964796,4.92164085127818,16.4374845445803,5.43938040939689,0.0247696538614653,0.0301209693424514,10.9981041351834,20.804845758592,"Buceros_bicornis","Buceros bicornis",25.70643239,"fruit"
"White-throated Kingfisher",0,1434.35,1425,1526.55875,1425,1425,1425.0075,9.34999999999923,0,98.8199999999999,1400,1400,24.2181987867475,19.2667599937782,0.0117237563642757,0.00967725839125455,4.95143879296936,14.5616503344221,3.75029553585317,0.0269276097642542,0.0317009137275114,10.811354798569,20.4679032508943,"Halcyon_smyrnensis","Halcyon smyrnensis",20.24597458,"vertebrates"
"Blue-throated Barbet",0,1596.35,1512.91625,1667,1733.7,1519.54,1781.5025,-104.399999999998,-225.866249999999,98.402500000001,1600,1700,23.1558970756125,18.2352595064547,0.0124787985534398,0.0114270197583065,4.92063756915781,12.7071086873326,2.04434557979334,0.0306520773646664,0.0349700811847896,10.6627631075392,21.1115514958192,"Megalaima_asiatica","Psilopogon asiaticus",17.49884742,"fruit"
"Lineated Barbet",0,523,369.82,792.229999999999,456.1,303.42,789.799999999999,57.2499999999995,-292.059999999999,359.780000000001,500,500,28.8089004975124,23.9910049751244,0.011770582187359,0.00544216749110008,4.81789552238806,20.3248756218905,9.02043781094527,0.0174048355796344,0.0202280294634703,11.3044378109453,19.7884626865671,"Megalaima_lineata","Psilopogon lineatus",18.99310168,"fruit"
"Great Barbet",2,2540,2499.99125,2677,2463,2369.4925,2474,93.5499999999993,33.9775,215.352500000002,2500,2500,18.8625820568928,13.8075071536778,0.0198158236814176,0.0225323971765169,5.05507490321495,7.6122706615048,-2.77495371149638,0.0338142589724829,0.0476350238514528,10.3872243730012,21.6375357683892,"Megalaima_virens","Psilopogon virens",21.67202429,"fruit"
"Greater Yellownape",0,2170.5,1888,2422.66375,2060.15,1810.0725,2255.45,126.8,-242.81125,469.49125,2200,2100,20.2641241747436,15.2628459053238,0.0165698309068595,0.0183827828877417,5.00127826941986,10.0939594648298,-0.376076301496887,0.0350756200045302,0.0421555595450798,10.4700357663267,20.6402004762405,"Picus_flavinucha","Chrysophlegma flavinucha",23.75209001,"invertebrates"
"Gray-headed Woodpecker",0,1907.6,1756.0025,2204.49,2328,1793.2375,2358.85,-369.85,-581.185,344.9175,1900,2300,21.6982190355036,16.7341274430438,0.0145048450287383,0.015474462332119,4.96409159245981,8.85349194167306,-1.58595548733691,0.0356887095113754,0.0453355709108195,10.43944742901,23.2841745228405,"Picus_canus","Picus canus",25.20374788,"invertebrates"
