"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Common Kingfisher",2,141.3,138.51875,154.08125,81,45.4,102,60.25,39.1625,96.75
"Eurasian Tree Sparrow",1,139,139,140.22,321.4,195.94625,424.63,-182.3,-285.63,-55.89625
"Large-billed Crow",0,140.6,139,173,155.4,142,250.7775,-9.5,-108.50625,26.15125
"Long-tailed Minivet",2,643.7,440,892.29375,130.95,108,187.0125,512.5,312.42875,760.0675
"Plumbeous Redstart",2,906,810.825,1178,247,183.75,310.4,684.9,557.99,961.6025
"White-capped Redstart",2,960,955.8,1668.20375,232,178.165,299.32125,767.7,682.7775,1455.22625
"Ashy-throated Warbler",2,1642.5,1343.18125,1741.8675,882.6,847.24375,1110,745.025,433.73,890.61
"Bhutan Laughingthrush",0,1453.6,1369.3,1736.45,1435.7,1344.15,1642.26875,13.05,-201.035,287.38
"Buff-barred Warbler",2,2038.2,1786,2712.16875,688.25,489,872.7,1361.675,971.5775,2089.22125
"Fire-breasted Flowerpecker",0,638.6,537.1,849.15,688.95,508.7,836.00125,-8.85000000000008,-220.2275,214.6575
"Green-backed Tit",2,1026,1001.14625,1090.26375,903,853.195,968.03125,123.85,53,209.67375
"Indian White-eye",0,199,179,241.805,153.9,140.7,229.31375,38.85,-40,91.335
"Lemon-rumped Warbler",2,1368.5,864.95,1793.96375,489,489,563.345,875.95,357.205,1293.8775
"Yellow-bellied Fairy-Fantail",2,1471.45,1446,1739,331,247.4875,372.50875,1160.85,1090.455,1380.0575
"Chestnut-tailed Minla",2,1624.375,1364,1739,1304.4,1301,1403.65,306.925,52.1337500000003,438
"Golden Babbler",0,535,482,559,489,347,489,57.2,-4.79000000000001,186.52
"Gray-sided Laughingthrush",0,1345.5,1305,1644.225,920,489,1386.025,428.1,-58.675,858.525
"Green-tailed Sunbird",2,1739,1736,1739,885.275,709,969.25,853.375,769.75,1030
"Mountain Hawk-Eagle",0,614.75,599.75,761.9,611.9,381.03,794.980000000001,27.8,-162.255,304.93
"Rufous-capped Babbler",0,595,567.25,595,258,250,733.104999999999,333.4,-138.105,345
"Rufous-vented Yuhina",2,1739,1739,1739,849,604,911.01125,890,827.98875,1135
"Striated Bulbul",2,1164.55,1084,1282.3075,846.35,652.37625,969.25,337.75,171,577.06625
"Yellow-cheeked Tit",2,939.5,804.8675,1112.89625,721.1,640.15,818.815,261.5,80.78375,434.01625
"Ashy Bulbul",2,383.8,343.9,428.5,228,153.52,340.9,159.7,17.5,255.82
"Blue-throated Barbet",1,46,44,48.6,109.875,89.4,116.805,-63.3,-70.805,-42.5975
"Bronzed Drongo",2,197,143.25,257.805,140.35,125,142,56.575,3.25,122.40125
"Chestnut-bellied Nuthatch",2,251.225,180.15,317,141.95,124.99125,171.02,111.1,36.45,185.41375
"Common Hill Myna",0,100.225,90.43875,128.83,111.6,88.4,123.20375,-5.84999999999999,-26.8025,26.00375
