species,LONGITUDE,LATITUDE
species,88.077148,26.569714
species,81.5655096,28.3599696
species,85.0788546,27.6810199
species,83.94724,29.12609
species,84.5596304,27.8588102
species,88.0692444,27.0309611
species,83.7877146,28.6108838
species,80.9456778,28.6846582
species,86.6761777,27.9560762
species,85.562447,27.578206
species,82.863291,27.649184
species,81.63292,28.99649
species,81.614023,29.147377
species,81.498198,28.892012
species,87.9108248,27.0420026
species,83.873413,28.818193
species,81.6301775,28.0722453
species,80.6331934,28.798094
species,81.2821133,28.6429664
species,81.1303104,29.3790052
species,85.3675389,27.7872198
species,84.0172255,28.6649661
species,84.3760943,28.2399387
species,87.06303,26.65771
species,80.2148928,28.7615026
species,86.71142,27.80553
species,85.5050039,27.7170413
species,85.4854707,27.9803602
species,86.635874,26.789733
species,83.44172,27.4967756
species,83.2869132,27.4691233
species,82.481862,28.034626
species,82.3319058,28.7827506
species,82.5087994,28.895139
species,82.024812,28.5198451
species,82.8799084,28.9760744
species,82.6667733,28.9908182
species,82.9357052,29.173822
species,82.573794,27.874984
species,85.215523,28.017359
species,85.2427675,27.6811663
species,83.6758626,27.5914801
species,84.0365067,27.5301156
species,81.1954182,28.3725361
species,85.75387,27.6991081
species,84.413093,27.9378
species,83.4228444,28.220712
species,83.5952568,28.2682904
species,84.6035872,27.7249663
species,85.3448439,28.1668322
species,85.4069298,27.570653
species,83.5972222,28.6436111
species,80.5438016,29.6678474
species,87.8855657,26.7567814
species,87.9248412,26.9075404
species,81.5179324,28.1980785
species,84.5814088,28.0191039
species,81.3281642,28.2471137
species,83.8672751,28.4331659
species,87.4304258,26.659969
species,84.9834508,27.2815089
species,84.8778156,28.1813766
species,84.9072393,28.3259903
species,84.8325306,28.5253891
species,85.0939044,27.884338
species,84.6481434,28.5839979
species,86.58556,27.512864
species,85.8809682,27.8521679
species,80.3266842,28.9429752
species,83.821833,28.298988
species,83.710785,28.450724
species,84.304034,28.527641
species,84.1726453,28.6038982
species,84.1144288,28.145902
species,87.4298253,26.4579455
species,85.97379,27.365259
species,84.2749869,28.7760141
species,84.406498,28.417603
species,84.812626,28.046766
species,84.8747536,27.0125025
species,85.5645813,28.2048437
species,84.9065701,27.4662213
species,81.1695537,28.5317904
species,86.7686111,27.6
species,86.8780556,27.7436111
species,83.8865805,28.0707887
species,85.5637137,27.0901481
species,83.1414444,27.5317237
species,87.9368609,27.6621448
species,88.0363049,27.7901267
species,87.9847182,27.5085247
species,87.9006729,27.3900297
species,85.0428103,28.489781
species,84.472609,28.6299401
species,82.4859989,28.6947198
species,83.2713211,28.0734563
species,83.1515663,27.9488471
species,88.0141817,26.4238183
species,86.52602,26.6956558
species,83.4004217,27.9460353
species,83.8964295,27.8748185
species,87.1395,26.7826517
species,87.2740742,26.6999861
species,86.9224853,26.5298819
species,85.6845779,27.9512043
species,84.15445,27.61772
species,84.2624139,27.9787832
species,85.7295116,27.4943049
species,83.2934808,27.6314966
species,85.267537,27.220869
species,85.129992,27.545694
species,85.049299,27.406998
species,87.8248746,26.5163821
species,84.2604214,27.5059623
species,82.1475112,29.5208282
species,80.148239,28.944017
species,88.0839325,26.8398869
species,83.979304,28.241634
species,86.7322837,26.5290089
species,84.3751073,27.4125763
species,85.3595481,27.0847887
species,85.9595502,26.8128601
species,86.1832627,26.8685168
species,85.9000816,26.9967156
species,87.164209,26.482702
species,85.9171635,27.2368317
species,86.8744927,26.6579241
species,87.2934253,26.845758
species,82.2045861,28.6982414
species,83.7220548,28.7814323
species,87.5067565,27.106496
species,84.819544,27.873071
species,84.963315,27.810698
species,83.849448,27.565196
species,83.451871,27.698263
species,83.117777,27.680313
species,82.806907,27.777927
species,82.225275,27.962097
species,81.672722,28.260015
species,81.732058,28.427796
species,81.1972774,29.2062067
species,87.5954003,26.6621659
species,81.652411,28.797437
species,81.422023,29.015651
species,81.59475,28.599916
species,81.802616,28.121838
species,82.055116,28.034461
species,82.380725,27.895238
species,80.6098384,29.2002353
species,83.0819661,28.2032161
species,81.0479819,28.4339207
species,86.853944,28.00338
species,86.3627989,27.4723661
species,81.3804079,28.4219534
species,83.5692482,27.8461096
species,82.6346001,28.3105798
species,84.2429642,27.7490892
species,84.5427978,27.6009811
species,84.412608,27.694541
species,84.7315732,27.5797255
species,77.1801187,35.3923633
species,74.815273,36.688578
species,74.101079,35.432407
species,74.311914,34.0207658
species,73.863741,33.419406
species,75.414487,35.018835
species,74.862927,36.433739
species,74.354711,35.900917
species,76.7961267,34.9172755
species,75.6395388,35.3037872
species,76.501823,35.7450891
species,73.4697724,34.3495006
species,74.5452364,35.8447062
species,74.2220879,34.1965647
species,76.3328143,35.1504531
species,74.4915142,33.0477228
species,74.658535,36.276401
species,78.27106,32.94735
species,78.0438387,30.4634527
species,78.041296,32.369378
species,76.6332865,32.0545719
species,75.76172,33.32124
species,76.9569858,30.8875624
species,78.2468176,31.0778575
species,79.0976924,29.5393338
species,78.3150074,33.2267138
species,96.1545371,27.7950556
species,95.9939038,27.7958382
species,79.1503721,30.2890876
species,77.7502871,31.2029412
species,77.8363752,30.782253
species,76.1342897,31.683868
species,89.53009,26.48177
species,78.0188325,29.7533217
species,79.7113621,29.1650246
species,75.8177204,32.6776612
species,75.5912621,32.5607401
species,79.7836367,29.5341933
species,79.3053867,29.1287944
species,80.1420021,29.826748
species,77.3675,32.7494444
species,77.9919444,33.8622222
species,75.6981265,32.8844467
species,77.8150463,33.8297669
species,78.7528753,29.963858
species,78.4530687,30.8366101
species,77.89856,30.94385
species,79.7834337,29.6739473
species,80.247869,30.101633
species,79.6702766,29.4223294
species,78.679787,30.224195
species,79.7782933,28.9359717
species,77.7287655,33.6799182
species,88.7089481,28.0239607
species,79.1021633,30.4897313
species,76.325478,31.5891641
species,88.8481961,26.8483017
species,76.261776,32.0773247
species,94.685545,27.6749816
species,94.8971132,28.7534192
species,74.9594194,32.9835842
species,92.288454,27.407948
species,92.6286886,27.0235528
species,78.6256276,30.3506965
species,80.1179939,29.9611296
species,77.8323251,34.3249425
species,77.8679236,33.9920527
species,78.0148098,34.3035085
species,78.283363,30.413808
species,94.7187447,28.7504514
species,95.9737915,28.9242831
species,95.8477067,28.5204839
species,91.7244337,27.7068624
species,74.5420694,32.8725708
species,79.4473088,30.462661
species,88.556499,27.7216976
species,88.8402911,27.3574849
species,92.146365,26.890848
species,88.5400299,27.4909573
species,88.5454994,27.9351532
species,75.4264825,34.2647921
species,96.6074395,27.439512
species,77.4506823,30.6069262
species,78.3916106,31.3692598
species,96.488641,27.538965
species,78.629803,31.9027884
species,88.364522,27.312774
species,77.2893488,34.675835
species,77.8493122,34.1815639
species,79.316937,30.339726
species,78.5936811,33.7996503
species,78.306427,32.7976645
species,78.95093,32.754673
species,77.176287,32.633203
species,97.0021667,27.1948333
species,96.926,27.324
species,76.000735,34.269072
species,75.956579,34.136504
species,75.571729,34.33028
species,74.330684,34.588435
species,74.032458,34.372828
species,75.240636,34.158819
