"t","pvalue","df","dataset"
17.3874216617886,1.38972910043608e-36,138,"05.q1.sam30"
37.7208841325852,4.09737055007383e-56,88,"05.q1.sam60"
52.3082156713505,3.21763751335408e-98,150,"05.q2.sam30"
40.4529638146978,2.2318205765886e-63,99,"05.q2.sam60"
15.1301192988791,6.21615117708871e-33,164,"05.q3.sam30"
42.6370149456644,1.17891938491917e-70,111,"05.q3.sam60"
5.56163481846927,1.33828093476779e-07,138,"95.q1.sam30"
9.9982029870249,3.62555563993997e-16,88,"95.q1.sam60"
3.87870366627297,0.000156736434161881,150,"95.q2.sam30"
7.85863330064596,4.81397992408533e-12,99,"95.q2.sam60"
4.84497460903553,2.91355305500568e-06,164,"95.q3.sam30"
7.87901765465149,2.43893450950565e-12,111,"95.q3.sam60"
11.1979342027767,4.15824689639368e-21,138,"50.q1.sam30"
14.349197703763,9.12404949565647e-25,88,"50.q1.sam60"
10.7601102015862,2.27857655657016e-20,150,"50.q2.sam30"
11.9516526201889,6.50958895127383e-21,99,"50.q2.sam60"
10.5562332954434,3.32916172324212e-20,164,"50.q3.sam30"
11.5123629777563,1.17103966774688e-20,111,"50.q3.sam60"
