"group.id","LOCALITY.ID","LATITUDE","LONGITUDE"
"G1597876","L4242423",33.3334816,75.7552383
"G1616503","L4304130",32.9382113,75.7432387
"G1626917","L2987261",33.3660905,74.3156433
"G1626918","L2987261",33.3660905,74.3156433
"G1626919","L2987261",33.3660905,74.3156433
"G1626920","L2987261",33.3660905,74.3156433
"G1646122","L1108461",34.1200937,74.8618591
"G1733041","L4560640",34.0825658,74.8600976
"G1733042","L4555800",34.0627242,74.8459196
"G1733154","L4560760",34.0783309,74.8719883
"G1829121","L4743212",34.1707552,74.9054217
"G1829380","L4743658",34.1759,74.93648
"G2389438","L5792420",32.6776612,75.8177204
"G2389453","L5791647",32.6421787,75.9039809
"G2389455","L5783721",32.5607401,75.5912621
"G2389459","L5783196",32.4701713,75.3167718
"G2389503","L5791647",32.6421787,75.9039809
"G2389510","L5783721",32.5607401,75.5912621
"G2545405","L5388690",32.7300178,74.888252
"G2548524","L6112139",32.6643317,74.8168133
"G2587306","L6187076",32.9279198,75.7383945
"G2587307","L6187567",32.9540834,75.7255973
"G2587308","L6187582",32.8721727,75.7296592
"G2587309","L6187582",32.8721727,75.7296592
"G2587310","L6187603",32.9494963,75.7138191
"G2599841","L6193526",32.8785847,75.6891416
"G2599842","L6193528",32.8844467,75.6981265
"G2599845","L6193521",32.8761389,75.7277741
"G2607196","L5388690",32.7300178,74.888252
"G2812997","L6082770",32.7290611,74.9100637
"G2917520","L6818857",32.4671143,75.4081161
"G2917526","L6818916",32.4745705,75.4082568
"G2947553","L5448530",34.1416014,74.6477249
"G2947555","L5448530",34.1416014,74.6477249
"G2948206","L3357160",34.157175,74.8312658
"G2950121","L3353046",32.7191469,74.869101
"G2950123","L3353046",32.7191469,74.869101
"G2950965","L3353046",32.7191469,74.869101
"G2950966","L4012182",32.5411713,74.6910372
"G2951965","L3353046",32.7191469,74.869101
"G2952058","L6941973",32.572875,74.7081754
"G2952072","L4012182",32.5411713,74.6910372
"G2952072","L6942050",32.5425993,74.6933214
"G2952074","L4012182",32.5411713,74.6910372
"G2952074","L6942050",32.5425993,74.6933214
"G2953630","L4012182",32.5411713,74.6910372
"G2953802","L3353046",32.7191469,74.869101
"G2953819","L3353046",32.7191469,74.869101
"G2953825","L3353046",32.7191469,74.869101
"G2960115","L3357160",34.157175,74.8312658
"G2962377","L5468783",34.0963114,74.8811603
"G2962378","L5468756",34.0941213,74.8731807
"G2962379","L5456323",34.0124579,74.7675446
"G2972171","L5783196",32.4701713,75.3167718
"G3324866","L5397302",32.7184826,74.8685002
"G3370275","L5388690",32.7300178,74.888252
"G3375144","L6082770",32.7290611,74.9100637
"G3376549","L7775195",32.8104127,74.8973082
"G3382915","L6157505",32.7298914,74.8920822
"G3386566","L6268038",32.697375,74.929895
"G3394955","L7813233",32.6210548,75.6025604
"G3394957","L7814155",32.5674114,75.3554211
"G3401020","L7824835",32.7133291,74.7494728
"G3407022","L6157505",32.7298914,74.8920822
"G3426765","L1108461",34.1200937,74.8618591
"G3426768","L3752916",34.3014363,75.2948427
"G3735012","L8386638",32.7820235,74.5344509
"G3738801","L7824835",32.7133291,74.7494728
"G3817382","L8503589",32.6560984,75.5936362
"G3843986","L8586524",32.8725708,74.5420694
"G3844366","L8386638",32.7820235,74.5344509
"G3849834","L8592242",32.8061745,74.5638936
"G3849836","L8592242",32.8061745,74.5638936
"G3849985","L8593950",32.8792106,74.5435155
"G3860479","L5456323",34.0124579,74.7675446
"G3889653","L8684038",32.6237233,75.641445
"G3910802","L8503589",32.6560984,75.5936362
"G4186979","L9271635",34.1199342,74.8806389
"G4186983","L9271549",34.2647921,75.4264825
"G4350696","L1108506",34.0819955,74.8401976
"G4354236","L3353046",32.7191469,74.869101
"G4542368","L9531084",34.002364,74.761994
"G4542401","L9580657",34.271924,74.882648
"G4542447","L9558051",34.588435,74.330684
"G4542454","L9552380",34.372828,74.032458
"G4542457","L9541529",34.409892,73.995314
"G4542458","L9541529",34.409892,73.995314
"G4542459","L9553572",34.415942,73.99397
"G4542464","L9536862",34.55279,74.323616
"G4542470","L9536486",33.82773,74.665954
"G4542475","L9531094",34.091917,75.264146
"G4542482","L9531071",34.158819,75.240636
"G4542484","L9531094",34.091917,75.264146
"G4542488","L9531088",34.158892,74.911879
"G4777721","L10333090",33.6115947,74.3544532
"G4777722","L10333114",33.6096582,74.3578471
"G4777723","L10333169",33.5818775,74.3638688
"G4777724","L10333182",33.5468484,74.3718544
"G4777725","L10333193",33.5560668,74.3672738
"G4777727","L10333208",33.3409627,74.3455022
"G4777731","L10333212",33.2419231,74.379273
"G4777732","L6207568",33.2211156,74.418447
"G4777733","L10333169",33.5818775,74.3638688
"G4777734","L10333169",33.5818775,74.3638688
"G4777735","L10333232",33.1094824,74.3745118
"G4777737","L10333223",33.0405593,74.6412161
"G4801853","L4012182",32.5411713,74.6910372
"G4801854","L3353046",32.7191469,74.869101
"G4801857","L4012182",32.5411713,74.6910372
"G4835478","L10426161",32.6799142,75.5984275
"G4895209","L14891454",32.717152,74.870527
"G4895215","L9600810",32.7291147,74.9096336
"G4895216","L5964783",32.4674451,75.7461673
"G4957763","L10698884",32.8710661,74.7120725
"G4963077","L10715687",32.831109,74.6128597
"G4969181","L10698884",32.8710661,74.7120725
"G4974515","L3353046",32.7191469,74.869101
"G4974517","L3353046",32.7191469,74.869101
"G4974519","L3353046",32.7191469,74.869101
"G4974520","L3353046",32.7191469,74.869101
"G4974522","L3353046",32.7191469,74.869101
"G4974523","L3353046",32.7191469,74.869101
"G4987648","L10715687",32.831109,74.6128597
"G4987655","L10775408",32.839835,74.5773471
"G5026861","L10852810",32.4896131,75.048762
"G5035034","L10864828",32.5179853,75.0508404
"G5411699","L6157505",32.7298914,74.8920822
"G5426957","L6157505",32.7298914,74.8920822
"G5428847","L6157505",32.7298914,74.8920822
"G5452069","L11625378",33.1227565,74.3439621
"G5452488","L6157505",32.7298914,74.8920822
"G5455818","L8587009",32.8326487,74.5765712
"G5461253","L10897390",32.886025,74.731247
"G5475574","L6157505",32.7298914,74.8920822
"G5478860","L6212006",32.7700996,75.041728
"G5491641","L6720901",32.4860991,75.4055058
"G5491643","L6720901",32.4860991,75.4055058
"G5536974","L11879785",32.6176616,75.3504365
"G5537687","L6720901",32.4860991,75.4055058
"G5583128","L11981838",32.9749461,74.7087749
"G5603353","L3752916",34.3014363,75.2948427
"G5603358","L8016690",34.3898332,75.1254452
"G5603359","L8016690",34.3898332,75.1254452
"G5603361","L8016732",34.4496811,75.0391424
"G5603364","L8016770",34.4470745,74.9975092
"G5603366","L8016805",34.429299,74.9281551
"G5615091","L6082770",32.7290611,74.9100637
"G5639151","L12123057",33.1249251,74.3434944
"G6019024","L3353046",32.7191469,74.869101
"G6024451","L12983560",33.1234771,74.3423548
"G6024786","L12984380",33.0391316,74.5834605
"G6035510","L10333232",33.1094824,74.3745118
"G6045462","L13025857",34.21786,74.6009605
"G6045814","L13026395",34.2715378,75.171227
"G6048420","L13032893",34.2453375,74.9293347
"G6054024","L3353046",32.7191469,74.869101
"G6060487","L14891454",32.717152,74.870527
"G6063750","L13025857",34.21786,74.6009605
"G6063758","L13032893",34.2453375,74.9293347
"G6088871","L3932049",34.075919,74.8477131
"G6135305","L8503651",32.6850758,75.6213733
"G6135599","L13208751",33.1047131,74.336126
"G6150559","L13256877",33.1235254,74.3432667
"G6166375","L13297465",32.7064372,75.6027208
"G6175144","L13317396",32.5360588,75.3481888
"G6178449","L13318907",32.4015137,75.6868767
"G6201882","L13374685",34.285173,74.8239642
"G6210871","L13387305",34.103011,74.715528
"G6268737","L3353046",32.7191469,74.869101
"G6268962","L4012182",32.5411713,74.6910372
"G6272162","L1108506",34.0819955,74.8401976
"G6274191","L3353046",32.7191469,74.869101
"G6274211","L3353046",32.7191469,74.869101
"G6274217","L3353046",32.7191469,74.869101
"G6274222","L3353046",32.7191469,74.869101
"G6274224","L3353046",32.7191469,74.869101
"G6274225","L3353046",32.7191469,74.869101
"G6274226","L3353046",32.7191469,74.869101
"G6274227","L3353046",32.7191469,74.869101
"G6274279","L13566254",34.026819,74.7529388
"G6274280","L13567496",34.0268513,74.7610682
"G6274281","L13566254",34.026819,74.7529388
"G6274282","L13566254",34.026819,74.7529388
"G6274283","L13566254",34.026819,74.7529388
"G6274338","L13567417",33.8778173,75.0125859
"G6274618","L3357160",34.157175,74.8312658
"G6274619","L13566254",34.026819,74.7529388
